line_no,FAIL_CODE,lot_no,sold_to,qty_mt,reason
13,QTY_EXCEEDS_AVAILABLE,1126021716,LG ENERGY SOLUTION,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021716: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
14,QTY_EXCEEDS_AVAILABLE,1126021717,AAA BATTERY,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021717: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
15,QTY_EXCEEDS_AVAILABLE,1126021718,CATL KOREA,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021718: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
16,QTY_EXCEEDS_AVAILABLE,1126021719,LG ENERGY SOLUTION,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021719: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
17,QTY_EXCEEDS_AVAILABLE,1126021720,LG ENERGY SOLUTION,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021720: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
18,QTY_EXCEEDS_AVAILABLE,1126021721,AAA BATTERY,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021721: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
19,QTY_EXCEEDS_AVAILABLE,1126021722,CATL KOREA,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021722: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
20,QTY_EXCEEDS_AVAILABLE,1126021723,LG ENERGY SOLUTION,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021723: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
21,QTY_EXCEEDS_AVAILABLE,1126021724,LG ENERGY SOLUTION,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021724: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
22,QTY_EXCEEDS_AVAILABLE,1126021725,AAA BATTERY,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021725: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
23,QTY_EXCEEDS_AVAILABLE,1126021726,CATL KOREA,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021726: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
24,QTY_EXCEEDS_AVAILABLE,1126021727,LG ENERGY SOLUTION,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021727: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
25,QTY_EXCEEDS_AVAILABLE,1126021730,LG ENERGY SOLUTION,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021730: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
26,QTY_EXCEEDS_AVAILABLE,1126021741,AAA BATTERY,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021741: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
27,QTY_EXCEEDS_AVAILABLE,1126021742,CATL KOREA,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021742: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
28,QTY_EXCEEDS_AVAILABLE,1126021751,LG ENERGY SOLUTION,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021751: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
29,QTY_EXCEEDS_AVAILABLE,1126021752,LG ENERGY SOLUTION,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021752: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
30,QTY_EXCEEDS_AVAILABLE,1126021753,AAA BATTERY,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021753: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
31,QTY_EXCEEDS_AVAILABLE,1126021754,CATL KOREA,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021754: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
32,QTY_EXCEEDS_AVAILABLE,1126021755,LG ENERGY SOLUTION,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021755: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
33,QTY_EXCEEDS_AVAILABLE,1126021757,LG ENERGY SOLUTION,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021757: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
34,QTY_EXCEEDS_AVAILABLE,1126021758,AAA BATTERY,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021758: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
35,QTY_EXCEEDS_AVAILABLE,1126021762,CATL KOREA,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021762: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
36,QTY_EXCEEDS_AVAILABLE,1126021763,LG ENERGY SOLUTION,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021763: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
37,QTY_EXCEEDS_AVAILABLE,1126021764,LG ENERGY SOLUTION,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021764: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
38,QTY_EXCEEDS_AVAILABLE,1126021765,AAA BATTERY,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021765: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
39,QTY_EXCEEDS_AVAILABLE,1126021766,CATL KOREA,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021766: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
40,QTY_EXCEEDS_AVAILABLE,1126021767,LG ENERGY SOLUTION,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021767: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
